CPU;1;686400
CPU;2;349440
CPU;4;292500
CPU;8;247000
CPU;16;230880
GPU;1;1229280
GPU;2;655200
GPU;4;336960
GPU;8;188500
GPU;16;156000
GPU;32;156000
GPU;64;156000
GPU;128;156000
GPU;256;156000
GPU;512;156000
GPU;1024;156000
